provinsi,latitude,longitude,radius
Banten1,-6.514543787206763,105.77087103015509,75km
Banten2,-6.153753446513573,106.50672246993395,20km
Banten3,-6.315071123524438,106.67702120593692,10km
Jakarta1,-6.146471516905326,106.8390608503256,15km
Jakarta2,-6.302956896118583,106.84690438023009,9km
Jakarta3,-5.613252295163187,106.57883555884074,30km
Jawa Barat1,-6.6427821438782075,107.83078990529653,100km
Jawa Barat2,-7.173568102056733,106.80908203125001,50km
Jawa Barat3,-6.605951939672302,106.7120323054142,30km
Jawa Barat4,-7.528595908286757,108.32794056550782,35km
Jawa Tengah1,-7.209900077565112,109.4586321406595,90km
Jawa Tengah2,-6.719165812566273,110.930780808773,75km
Jawa Tengah3,-7.418757268873017,110.70371870897297,30km
Jawa Tengah4,-7.8416149487457,111.01592584552972,20km
Yogyakarta1,-7.935929026967579,110.41351385009193,40km
Jawa Timur1,-7.4568861872724685,112.86621891958647,155km
Jawa Timur2,-8.133555387372656,111.35559614435202,30km
Jawa Timur3,-7.584864717096836,111.41694047139936,30km
Jawa Timur4,-8.683304080021413,114.1259798910179,55km
Jawa Timur5,-7.005489589610435,115.54779651788144,45km
